Year,USD,type
1998,8819547617,equities
1999,11576587600,equities
2000,17120011661,equities
2001,26895415557,equities
2002,32775570022,equities
2003,53191207662,equities
2004,67089270879,equities
2005,84995436430,equities
2006,114894735610,equities
2007,173820609434,equities
2008,160525513327,equities
2009,284726043953,equities
2010,325759168628,equities
2011,325192785131,equities
2012,417832919994,equities
2013,515952938786,equities
2014,526813896859,equities
2015,519495959767,equities
2016,546776176543,equities
2017,694496374455,equities
2018,632713277560,equities
2019,814010091374,equities
2020,931141283548,equities
2021,1009021056653,equities
2022,870961270695,equities
2023,1100494416258,equities
2011,83962988322,real estate
2012,165681714586,real estate
2013,459533435881,real estate
2014,1350202323737,real estate
2015,5521431625306,real estate
2016,5499384209428,real estate
2017,5914781726957,real estate
2018,6134496929915,real estate
2019,6392733746672,real estate
2020,8437904960820,real estate
2021,9614166557979,real estate
2022,9336656121917,real estate
2023,8023863827089,real estate
1998,13420292091,fixed income
1999,16074859961,fixed income
2000,27777043710,fixed income
2001,39051462727,fixed income
2002,56428575306,fixed income
2003,70779888462,fixed income
2004,102271496656,fixed income
2005,97905690566,fixed income
2006,186019352615,fixed income
2007,205581574650,fixed income
2008,230669221358,fixed income
2009,185247144331,fixed income
2010,215568707589,fixed income
2011,222444566991,fixed income
2012,260985588821,fixed income
2013,309916407412,fixed income
2014,313416268116,fixed income
2015,307093083492,fixed income
2016,310770332174,fixed income
2017,326595189505,fixed income
2018,307172060979,fixed income
2019,318263318524,fixed income
2020,334542984349,fixed income
2021,387705429841,fixed income
2022,391317757703,fixed income
2023,449768876610,fixed income
2021,1620148954,infrastructure
2022,1470781491,infrastructure
2023,1894838169,infrastructure
